100
120
80
Degree,Service_Time,Time
256,59960,0
208,77,200
199,95,400
196,102,600
195,105,800
194,106,1000
199,127,1200
198,102,1400
197,103,1600
196,104,1800
195,105,2000
195,106,2200
195,105,2400
194,106,2600
194,107,2800
194,107,3000
194,107,3200
194,107,3400
194,107,3600
193,107,3800
193,108,4000
190,108,4200
192,110,4400
192,109,4600
193,109,4800
193,107,5000
193,108,5200
191,108,5400
191,110,5600
192,109,5800
192,109,6000
192,109,6200
192,108,6400
192,109,6600
192,109,6800
192,108,7000
192,109,7200
192,109,7400
192,109,7600
192,109,7800
192,109,8000
192,109,8200
192,109,8400
192,108,8600
192,108,8800
192,109,9000
192,109,9200
192,109,9400
192,108,9600
192,109,9800
192,109,10000
192,109,10200
192,109,10400
192,108,10600
192,109,10800
192,108,11000
192,108,11200
192,109,11400
192,109,11600
192,109,11800
192,109,12000
192,109,12200
192,109,12400
192,109,12600
192,109,12800
192,109,13000
192,109,13200
192,109,13400
192,109,13600
192,109,13800
192,109,14000
192,109,14200
192,109,14400
192,109,14600
192,109,14800
192,109,15000
192,109,15200
192,108,15400
192,109,15600
192,109,15800
192,108,16000
192,109,16200
192,109,16400
192,109,16600
192,109,16800
193,108,17000
192,108,17200
192,109,17400
192,109,17600
192,109,17800
192,109,18000
192,109,18200
192,108,18400
192,109,18600
192,109,18800
192,108,19000
192,109,19200
192,109,19400
192,109,19600
192,109,19800
192,109,20000
192,109,20200
192,109,20400
192,109,20600
192,109,20800
192,109,21000
192,109,21200
192,109,21400
192,109,21600
192,109,21800
192,109,22000
192,109,22200
192,109,22400
192,108,22600
192,109,22800
192,109,23000
192,109,23200
192,109,23400
192,109,23600
192,109,23800
192,109,24000
192,109,24200
192,109,24400
192,109,24600
192,109,24800
192,109,25000
192,107,25200
190,83,25400
184,43,25600
177,31,25800
170,30,26000
164,33,26200
157,38,26400
151,39,26600
145,47,26800
138,43,27000
132,47,27200
125,40,27400
119,47,27600
112,49,27800
105,50,28000
99,68,28200
93,62,28400
87,73,28600
80,77,28800
74,89,29000
68,91,29200
63,106,29400
59,124,29600
59,114,29800
60,119,30000
61,111,30200
62,102,30400
62,103,30600
62,110,30800
62,107,31000
63,114,31200
63,106,31400
64,116,31600
65,105,31800
65,103,32000
66,105,32200
66,99,32400
67,106,32600
67,113,32800
68,103,33000
68,99,33200
68,107,33400
68,102,33600
67,96,33800
67,101,34000
67,101,34200
67,99,34400
67,102,34600
67,107,34800
68,105,35000
68,103,35200
68,103,35400
68,99,35600
68,109,35800
67,98,36000
67,87,36200
67,102,36400
67,106,36600
67,104,36800
67,104,37000
67,103,37200
67,105,37400
67,105,37600
67,5935,37800
68,121,38000
70,146,38200
73,177,38400
79,242,38600
88,298,38800
97,330,39000
106,345,39200
114,327,39400
123,294,39600
132,264,39800
141,1278,40000
150,220,40200
160,205,40400
169,196,40600
178,183,40800
186,175,41000
195,166,41200
204,157,41400
213,151,41600
222,144,41800
231,138,42000
239,134,42200
247,130,42400
253,127,42600
256,125,42800
256,125,43000
256,125,43200
256,125,43400
256,125,43600
256,125,43800
256,125,44000
256,125,44200
256,125,44400
256,125,44600
256,125,44800
256,125,45000
256,125,45200
256,125,45400
256,125,45600
256,125,45800
256,125,46000
256,125,46200
256,125,46400
256,125,46600
256,125,46800
256,125,47000
256,125,47200
256,125,47400
256,125,47600
256,125,47800
256,125,48000
256,125,48200
256,125,48400
256,125,48600
256,125,48800
256,125,49000
256,125,49200
256,125,49400
256,125,49600
256,125,49800
256,125,50000
256,125,50200
256,125,50400
256,125,50600
256,125,50800
256,125,51000
256,125,51200
256,125,51400
256,125,51600
256,125,51800
256,125,52000
256,125,52200
256,125,52400
256,125,52600
256,125,52800
256,125,53000
256,125,53200
256,125,53400
256,125,53600
256,125,53800
256,125,54000
256,126,54200
256,125,54400
256,125,54600
256,125,54800
256,125,55000
256,125,55200
256,125,55400
256,125,55600
256,125,55800
256,125,56000
256,125,56200
256,125,56400
256,125,56600
256,125,56800
256,125,57000
256,125,57200
256,125,57400
256,125,57600
256,125,57800
256,125,58000
