400
480
320
Degree,Service_Time,Time
1,401,0
2,872,200
2,201,400
1,403,600
1,403,800
1,969,1000
2,1666,1200
2,201,1400
2,201,1600
2,201,1800
2,201,2000
1,403,2200
1,403,2400
1,403,2600
1,510,2800
1,2228,3000
1,403,3200
1,403,3400
1,850,3600
1,758,3800
1,403,4000
1,1350,4200
1,1055,4400
1,403,4600
1,1298,4800
1,403,5000
1,403,5200
1,403,5400
1,403,5600
1,403,5800
1,403,6000
1,941,6200
1,403,6400
1,401,6600
1,401,6800
1,401,7000
1,401,7200
1,3337,7400
1,401,7600
2,2698,7800
2,2022,8000
2,200,8200
2,200,8400
2,200,8600
2,200,8800
2,200,9000
2,200,9200
2,200,9400
2,125,9600
2,69,9800
2,50,10000
2,50,10200
2,50,10400
1,101,10600
1,101,10800
1,101,11000
1,101,11200
1,101,11400
1,101,11600
1,101,11800
1,538,12000
1,713,12200
1,713,12400
1,801,12600
1,6739,12800
1,801,13000
1,5007,13200
1,801,13400
1,801,13600
2,400,13800
2,1822,14000
2,400,14200
2,400,14400
3,267,14600
3,267,14800
3,267,15000
3,267,15200
3,267,15400
2,400,15600
2,400,15800
2,400,16000
2,1899,16200
3,1599,16400
3,267,16600
2,400,16800
3,2043,17000
3,1154,17200
4,1698,17400
4,724,17600
4,699,17800
4,200,18000
4,225,18200
4,225,18400
4,225,18600
4,225,18800
4,200,19000
3,296,19200
3,267,19400
3,267,19600
3,267,19800
3,267,20000
2,400,20200
2,400,20400
2,400,20600
2,400,20800
2,400,21000
2,400,21200
2,400,21400
2,400,21600
2,400,21800
2,400,22000
2,400,22200
2,400,22400
2,400,22600
2,400,22800
2,400,23000
